[2026-06-12 15:57:38] STAGE: A_PAGE_LOAD     | PLAYER: 1 | GAMEOVER: False | MOVES: 18 | GAME_ID: 2250802400960 | LAST_CLICK: (209, 561) | PREVIEW: None
[2026-06-12 15:57:42] STAGE: A_PAGE_LOAD     | PLAYER: 1 | GAMEOVER: False | MOVES: 18 | GAME_ID: 2250802400960 | LAST_CLICK: (209, 561) | PREVIEW: None
[2026-06-12 15:57:42] STAGE: A_PAGE_LOAD     | PLAYER: 1 | GAMEOVER: False | MOVES: 18 | GAME_ID: 2250802400960 | LAST_CLICK: (475, 620) | PREVIEW: (8, 6)
[2026-06-12 15:57:42] STAGE: A_PAGE_LOAD     | PLAYER: 1 | GAMEOVER: False | MOVES: 18 | GAME_ID: 2250802400960 | LAST_CLICK: (475, 620) | PREVIEW: (8, 6)
[2026-06-12 15:57:42] STAGE: B_HUMAN_PLAY    | PLAYER: 2 | GAMEOVER: False | MOVES: 18 | GAME_ID: 2250802400960 | LAST_CLICK: (491, 622) | PREVIEW: (8, 6)
[2026-06-12 15:57:43] STAGE: A_PAGE_LOAD     | PLAYER: 2 | GAMEOVER: False | MOVES: 19 | GAME_ID: 2250802400960 | LAST_CLICK: (491, 622) | PREVIEW: None
[2026-06-12 15:57:43] STAGE: C_AI_BEFORE     | PLAYER: 2 | GAMEOVER: False | MOVES: 19 | GAME_ID: 2250802400960 | LAST_CLICK: (491, 622) | PREVIEW: None
[2026-06-12 15:59:02] STAGE: D_AI_AFTER      | PLAYER: 1 | GAMEOVER: False | MOVES: 20 | GAME_ID: 2250802400960 | LAST_CLICK: (491, 622) | PREVIEW: None
[2026-06-12 15:59:02] STAGE: A_PAGE_LOAD     | PLAYER: 1 | GAMEOVER: False | MOVES: 20 | GAME_ID: 2250802400960 | LAST_CLICK: (491, 622) | PREVIEW: None
[2026-06-12 15:59:17] STAGE: A_PAGE_LOAD     | PLAYER: 1 | GAMEOVER: False | MOVES: 20 | GAME_ID: 2250802400960 | LAST_CLICK: (491, 622) | PREVIEW: None
